"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3231","Realizar login com sucesso","","2026-07-22","passed","2026-07-22","","Login","Realizar login com sucesso",""
"","3916","Buscar produto inexistente","","2026-07-22","passed","2026-07-22","","Compra de Produto","Buscar produto inexistente",""
"","2698","Tentar realizar checkout sem possuir produtos no carrinho","","2026-07-22","passed","2026-07-22","","Validação negativa do checkout","Tentar realizar checkout sem possuir produtos no carrinho",""
"","2961","Realizar login com credenciais inválidas","","2026-07-22","passed","2026-07-22","","Login","Realizar login com credenciais inválidas",""
"","9226","Realizar compra com sucesso","","2026-07-22","passed","2026-07-22","","Compra de Produto","Realizar compra com sucesso",""
"","9456","Tentar realizar checkout sem aceitar os termos de serviço","","2026-07-22","passed","2026-07-22","","Validação negativa do checkout","Tentar realizar checkout sem aceitar os termos de serviço",""
"","3858","Realizar logout com sucesso","","2026-07-22","passed","2026-07-22","","Login","Realizar logout com sucesso",""
"","3804","Tentar cadastrar usuário com e-mail já existente","","2026-07-22","passed","2026-07-22","","Cadastro de usuário","Tentar cadastrar usuário com e-mail já existente",""
"","2549","Tentar cadastrar usuário sem preencher campos obrigatórios","","2026-07-22","passed","2026-07-22","","Cadastro de usuário","Tentar cadastrar usuário sem preencher campos obrigatórios",""
"","2708","Tentar realizar login com campos vazios","","2026-07-22","passed","2026-07-22","","Login","Tentar realizar login com campos vazios",""
"","10339","Avançar para o checkout com sucesso","","2026-07-22","passed","2026-07-22","","Checkout de Produto","Avançar para o checkout com sucesso",""
"","25058","Finalizar compra com sucesso","","2026-07-22","passed","2026-07-22","","Checkout de Produto","Finalizar compra com sucesso",""
"","14139","Realizar cadastro com sucesso","","2026-07-22","passed","2026-07-22","","Cadastro de usuário","Realizar cadastro com sucesso",""
