"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19485","Finalizar compra com sucesso","","2026-07-22","failed","2026-07-22","","Checkout de Produto","Finalizar compra com sucesso",""
"","10954","Avançar para o checkout com sucesso","","2026-07-22","passed","2026-07-22","","Checkout de Produto","Avançar para o checkout com sucesso",""
"","4700","Realizar logout com sucesso","","2026-07-22","passed","2026-07-22","","Login","Realizar logout com sucesso",""
"","4264","Tentar cadastrar usuário com e-mail já existente","","2026-07-22","passed","2026-07-22","","Cadastro de usuário","Tentar cadastrar usuário com e-mail já existente",""
"","3269","Tentar realizar login com campos vazios","","2026-07-22","passed","2026-07-22","","Login","Tentar realizar login com campos vazios",""
"","3838","Realizar login com sucesso","","2026-07-22","passed","2026-07-22","","Login","Realizar login com sucesso",""
"","3360","Realizar login com credenciais inválidas","","2026-07-22","passed","2026-07-22","","Login","Realizar login com credenciais inválidas",""
"","9620","Realizar compra com sucesso","","2026-07-22","passed","2026-07-22","","Compra de Produto","Realizar compra com sucesso",""
"","3571","Tentar realizar checkout sem possuir produtos no carrinho","","2026-07-22","passed","2026-07-22","","Validação negativa do checkout","Tentar realizar checkout sem possuir produtos no carrinho",""
"","2995","Tentar cadastrar usuário sem preencher campos obrigatórios","","2026-07-22","passed","2026-07-22","","Cadastro de usuário","Tentar cadastrar usuário sem preencher campos obrigatórios",""
"","5219","Buscar produto inexistente","","2026-07-22","passed","2026-07-22","","Compra de Produto","Buscar produto inexistente",""
"","15900","Realizar cadastro com sucesso","","2026-07-22","passed","2026-07-22","","Cadastro de usuário","Realizar cadastro com sucesso",""
"","9500","Tentar realizar checkout sem aceitar os termos de serviço","","2026-07-22","passed","2026-07-22","","Validação negativa do checkout","Tentar realizar checkout sem aceitar os termos de serviço",""
