"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8735","Realizar compra com sucesso","","2026-07-22","passed","2026-07-22","","Compra de Produto","Realizar compra com sucesso",""
"","2819","Tentar realizar login com campos vazios","","2026-07-22","passed","2026-07-22","","Login","Tentar realizar login com campos vazios",""
"","4040","Realizar logout com sucesso","","2026-07-22","passed","2026-07-22","","Login","Realizar logout com sucesso",""
"","3243","Realizar login com sucesso","","2026-07-22","passed","2026-07-22","","Login","Realizar login com sucesso",""
"","3805","Tentar cadastrar usuário com e-mail já existente","","2026-07-22","passed","2026-07-22","","Cadastro de usuário","Tentar cadastrar usuário com e-mail já existente",""
"","2729","Tentar realizar checkout sem possuir produtos no carrinho","","2026-07-22","passed","2026-07-22","","Validação negativa do checkout","Tentar realizar checkout sem possuir produtos no carrinho",""
"","2883","Realizar login com credenciais inválidas","","2026-07-22","passed","2026-07-22","","Login","Realizar login com credenciais inválidas",""
"","6150","Realizar cadastro com sucesso","","2026-07-22","passed","2026-07-22","","Cadastro de usuário","Realizar cadastro com sucesso",""
"","10171","Avançar para o checkout com sucesso","","2026-07-22","passed","2026-07-22","","Checkout de Produto","Avançar para o checkout com sucesso",""
"","9755","Tentar realizar checkout sem aceitar os termos de serviço","","2026-07-22","passed","2026-07-22","","Validação negativa do checkout","Tentar realizar checkout sem aceitar os termos de serviço",""
"","22484","Finalizar compra com sucesso","","2026-07-22","broken","2026-07-22","","Checkout de Produto","Finalizar compra com sucesso",""
"","4027","Buscar produto inexistente","","2026-07-22","passed","2026-07-22","","Compra de Produto","Buscar produto inexistente",""
"","2533","Tentar cadastrar usuário sem preencher campos obrigatórios","","2026-07-22","passed","2026-07-22","","Cadastro de usuário","Tentar cadastrar usuário sem preencher campos obrigatórios",""
