"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4908","Tentar cadastrar usuário com e-mail já existente","","2026-07-22","passed","2026-07-22","","Cadastro de usuário","Tentar cadastrar usuário com e-mail já existente",""
"","10477","Realizar compra com sucesso","","2026-07-22","passed","2026-07-22","","Compra de Produto","Realizar compra com sucesso",""
"","3220","Tentar cadastrar usuário sem preencher campos obrigatórios","","2026-07-22","passed","2026-07-22","","Cadastro de usuário","Tentar cadastrar usuário sem preencher campos obrigatórios",""
"","12198","Realizar cadastro com sucesso","","2026-07-22","passed","2026-07-22","","Cadastro de usuário","Realizar cadastro com sucesso",""
"","3893","Realizar login com credenciais inválidas","","2026-07-22","passed","2026-07-22","","Login","Realizar login com credenciais inválidas",""
"","3671","Tentar realizar login com campos vazios","","2026-07-22","passed","2026-07-22","","Login","Tentar realizar login com campos vazios",""
"","4924","Buscar produto inexistente","","2026-07-22","passed","2026-07-22","","Compra de Produto","Buscar produto inexistente",""
"","4039","Tentar realizar checkout sem possuir produtos no carrinho","","2026-07-22","passed","2026-07-22","","Validação negativa do checkout","Tentar realizar checkout sem possuir produtos no carrinho",""
"","27162","Finalizar compra com sucesso","","2026-07-22","passed","2026-07-22","","Checkout de Produto","Finalizar compra com sucesso",""
"","10590","Tentar realizar checkout sem aceitar os termos de serviço","","2026-07-22","passed","2026-07-22","","Validação negativa do checkout","Tentar realizar checkout sem aceitar os termos de serviço",""
"","5468","Realizar logout com sucesso","","2026-07-22","passed","2026-07-22","","Login","Realizar logout com sucesso",""
"","11927","Avançar para o checkout com sucesso","","2026-07-22","passed","2026-07-22","","Checkout de Produto","Avançar para o checkout com sucesso",""
"","4217","Realizar login com sucesso","","2026-07-22","passed","2026-07-22","","Login","Realizar login com sucesso",""
